K,T_train,T_test,min_test_events,rho_naive_constant,rho_drive_constant,delta_rho_constant,rho_time,rho_time_drive,delta_rho_time_adjusted,delta_rho_shift_p,rank1_delta,crossfit_projection_energy,crossfit_projection_p,crossfit_loading_alignment,crossfit_loading_p,orthogonal_leakage_ratio,predicted_geometry_cosine,predicted_geometry_relerr,residual_spike_ratio,residual_pc_alignment,residual_alignment_label_p,brier_naive,brier_drive,brier_time,brier_time_drive,logloss_naive,logloss_drive,logloss_time,logloss_time_drive,brier_gain_drive_vs_naive,brier_gain_factor_beyond_time,logloss_gain_drive_vs_naive,logloss_gain_factor_beyond_time,window,window_kind,event_type,q,K_requested
10,1860,3840,156,0.9573627762285895,0.9456354041877456,0.011727372040843842,0.9303725863186956,0.9148104516172133,0.015562134701482266,0.001996007984031936,0.6794567395777641,0.5902120967305089,0.013972055888223553,0.9261838118914236,0.001996007984031936,0.6401467825838808,0.4310856849155221,2.136049599637367,2.4277235229301826,0.9748805890720449,0.11317736452709458,0.038420201630852,0.03765306646870922,0.46086436873447134,0.45789661174372703,0.14742168179585222,0.14944917338952549,6.357688275451834,6.319113083119931,0.0007671351621427736,0.002967756990744308,-0.0020274915936732696,0.038575192331903096,Terra_Luna,shock,volume_burst,0.95,10
20,1860,3840,122,0.957362776253871,0.9456354041877446,0.011727372066126396,0.9303731907701466,0.9148672126220031,0.015505978148143473,0.001996007984031936,0.5906380620449344,0.49523189503612497,0.001996007984031936,0.9079814438040866,0.001996007984031936,0.7104703406571438,0.18295862261025156,3.9909598953917143,2.79987984641015,0.9441395006013406,0.1259748050389922,0.03880055809403877,0.03826751003747623,0.3109069371436576,0.3660224409853769,0.15399514723963798,0.15388062040298844,4.286520439677489,5.050188327286406,0.0005330480565625406,-0.055115503841719315,0.00011452683664953112,-0.7636678876089169,Terra_Luna,shock,volume_burst,0.95,20
10,1860,3840,103,0.9500028535149456,0.9500028534871799,2.7765678645153002e-11,0.9208590836795422,0.917757677834738,0.003101405844804117,0.015968063872255488,0.7586703118014264,0.47762155513504745,0.06986027944111776,0.7553986172319375,0.0998003992015968,0.7227575283952572,0.3827035619214002,2.574170171625101,2.428391436142159,0.9538672052659828,0.1731653669266147,0.02782814309245045,0.027630290654459214,0.3988542843076731,0.43955355523665807,0.11074944251193301,0.11190015402804782,5.506078927426961,6.070183726909545,0.0001978524379912354,-0.040699270928984954,-0.0011507115161148024,-0.5641047994825845,Terra_Luna,shock,volume_burst,0.97,10
20,1860,3840,72,0.9500028535151172,0.9500028533207284,1.9438872733701373e-10,0.920856391699531,0.9177525700342053,0.0031038216653257455,0.033932135728542916,0.5237276108723492,0.4227464969187217,0.005988023952095809,0.8941714968084626,0.001996007984031936,0.7597720072955189,0.2887754606844065,3.4090813007930736,3.167252270560618,0.9200714293314527,0.13177364527094582,0.026341069076580327,0.026086355537874327,0.4896587587963133,0.699401928161232,0.11680474564147976,0.11069552235673076,6.761657537351378,9.660186164891945,0.0002547135387060001,-0.2097431693649187,0.006109223284748999,-2.898528627540567,Terra_Luna,shock,volume_burst,0.97,20
10,1860,3840,45,0.8765088500607116,0.8757168593962416,0.0007919906644699992,0.8260141646440969,0.8236758635257013,0.0023383011183956137,0.041916167664670656,0.8230050504603537,0.6523940355303192,0.001996007984031936,0.8897126579150303,0.001996007984031936,0.589581177152629,0.3325714928229176,2.3347324953676276,2.03794425806244,0.8791721705011385,0.16176764647070585,0.016968584710943608,0.016928800198945895,0.4320432012971298,0.42474499365824225,0.07228204243142067,0.07373595314977446,5.967896867546345,5.867904201221924,3.978451199771263e-05,0.007298207638887555,-0.0014539107183537958,0.09999266632442083,Terra_Luna,shock,volume_burst,0.985,10
20,1860,3840,37,0.8765088500607099,0.875716857738852,0.0007919923218578928,0.8260606407710682,0.8237181113999258,0.002342529371142432,0.0499001996007984,0.3839205729268735,0.24416367882077614,0.16966067864271456,0.7449555192149262,0.015968063872255488,0.8693884754075341,0.16402150939842663,2.1735577454270127,2.737802317923587,0.832500506531443,0.2939412117576485,0.01590074375473252,0.015843244594884506,0.49099758396202325,0.44880353181868976,0.07409878511064272,0.0724059552056698,6.782403332967648,6.199410028470904,5.749915984801582e-05,0.042194052143333494,0.0016928299049729228,0.5829933044967435,Terra_Luna,shock,volume_burst,0.985,20
10,1860,3840,269,0.9214462934787788,0.8410562401306063,0.08039005334817251,0.7978415153462695,0.7243220492974578,0.07351946604881165,0.001996007984031936,0.7841514320577777,0.6408998704258811,0.013972055888223553,0.9031102371530926,0.007984031936127744,0.5992496387216031,0.7475947491315678,1.0033781194494116,5.318763542441025,0.9216826005697899,0.21615676864627076,0.10742692122046431,0.10737152618811163,0.5025904452718494,0.38024876786989165,0.3482873185992703,0.350407447624433,6.931364419388095,5.243112163981444,5.5395032352675844e-05,0.12234167740195773,-0.002120129025162676,1.6882522554066508,Terra_Luna,shock,volatility_burst,0.95,10
20,1860,3840,269,0.9277821989279108,0.8591963292268147,0.06858586970109615,0.8183695891262582,0.7497314775028483,0.06863811162340994,0.001996007984031936,0.5180867117917132,0.39546123019356105,0.03792415169660679,0.8676727593266573,0.003992015968063872,0.7775209127528105,0.5266990897115801,1.3381080529952636,9.046662192228114,0.9154903373667285,0.09878024395120975,0.10682292753590791,0.10669812074537127,0.2930038114115435,0.598238907289651,0.34892931775233654,0.3501465231817488,4.036348939147762,8.255811838617179,0.00012480679053664123,-0.3052350958781075,-0.0012172054294122825,-4.219462899469417,Terra_Luna,shock,volatility_burst,0.95,20
10,1860,3840,187,0.9203170893429513,0.8482993309239802,0.07201775841897107,0.8196262926898432,0.7652859725640238,0.054340320125819463,0.001996007984031936,0.6497513577009361,0.555376890374992,0.011976047904191617,0.9219428071229531,0.005988023952095809,0.6668006520342709,0.5586836489753577,0.9862318908010779,5.359515668253332,0.9509492580339671,0.027394521095780843,0.08433207791928561,0.08427546566238012,0.48705384999424456,0.517826596484116,0.2843760775639179,0.2863463127582583,6.724418585443219,7.150959511524144,5.661225690549443e-05,-0.03077274648987144,-0.001970235194340364,-0.426540926080925,Terra_Luna,shock,volatility_burst,0.97,10
20,1860,3840,187,0.9260253857391849,0.8575196615751431,0.06850572416404177,0.8371310455773905,0.7895255048681256,0.047605540709264926,0.001996007984031936,0.4223092950637983,0.3350281818018687,0.05189620758483034,0.8568195952265099,0.003992015968063872,0.8154580419367745,0.31368194793495513,1.3940586981600065,9.187169982525274,0.9340043884042727,0.008198360327934412,0.08252311708824915,0.08249961352837151,0.255159310225223,0.7291785697563467,0.2809604497029957,0.2830501528848317,3.520009654824885,10.07028805512776,2.3503559877638414e-05,-0.47401925953112367,-0.002089703181835989,-6.550278400302875,Terra_Luna,shock,volatility_burst,0.97,20
