window,kind,q,split,lag,placebo,placebo_definition,K,T,kappa_A,kappa_B,F_conv,F_eff_MOP,rho_naive,rho_ols_proxy,rho_2sls,ar_lo,ar_hi,ar_empty,ar_frac_bounded,hac_ar_frac_bounded,ar_projection,conn_naive,conn_2sls,systemic_rank_preserved,seconds
Banking_crypto,shock,0.95,S1,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,5700,0.6103074525599098,0.5501748376981211,0.5208668796163248,0.47292743430013345,,,,,,False,,,not_applicable_placebo,,,False,0.005568083026446402
Banking_crypto,shock,0.95,S1,1,False,,18,5700,0.6103074525599098,0.5759112283707668,3055.7051673488963,1743.4429733757684,1.4760680966662008,1.3752877839635262,1.3141849469059712,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24509441602276638
Banking_crypto,shock,0.95,S1,2,False,,18,5700,0.5966138298359823,0.5613779578263679,2905.222727239238,1748.2502253456832,1.4760680966662008,1.4291706532975987,1.387001158580201,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2448454579571262
Banking_crypto,shock,0.95,S1,5,False,,18,5700,0.5969826046078665,0.5597131891885208,2912.937716953277,1725.224454056439,1.4760680966662008,1.475929850818304,1.462945844570293,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24276912497589365
Banking_crypto,shock,0.95,S1,10,False,,18,5700,0.6211607210595173,0.5780774243920211,3150.8145400468325,1682.2517769446788,1.4760680966662008,1.504707837089655,1.5130155361866886,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24179637501947582
Banking_crypto,shock,0.95,S2,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,5700,0.6114256805302233,0.5339295846843222,3.4766969570777166,2.803001766965929,,,,,,False,,,not_applicable_placebo,,,False,0.005544499959796667
Banking_crypto,shock,0.95,S2,1,False,,18,5700,0.6114256805302233,0.5744967981962573,3028.895991705135,1560.1626603297861,1.4760680966662008,1.3628411851166609,1.2963356501295769,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24342808400979266
Banking_crypto,shock,0.95,S2,2,False,,18,5700,0.5984499161564545,0.5592839224651464,2878.6167218013047,1563.7719591378273,1.4760680966662008,1.4178481661792104,1.3898627698015638,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2419636250124313
Banking_crypto,shock,0.95,S2,5,False,,18,5700,0.5988300897233977,0.5578860358120966,2880.0531319516026,1570.3600193036548,1.4760680966662008,1.4722498497672913,1.468678929455098,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24185033299727365
Banking_crypto,shock,0.95,S2,10,False,,18,5700,0.6170374529986908,0.5820551525342078,3108.3090654700677,1583.500442361461,1.4760680966662008,1.4996229547541706,1.518104508394569,,,True,0.16666666666666666,1.0,fast_closed_form_outer,,,False,0.15001366700744256
Banking_crypto,shock,0.95,S3,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,5700,0.6232871713081883,0.5270764878185271,0.4494485801000121,0.4722242336552665,,,,,,False,,,not_applicable_placebo,,,False,0.005679416994098574
Banking_crypto,shock,0.95,S3,1,False,,18,5700,0.6232871713081883,0.5610347061298623,3172.2520537274427,1708.677941899406,1.4760680966662008,1.373244449511076,1.308717772263293,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24273245898075402
Banking_crypto,shock,0.95,S3,2,False,,18,5700,0.6091789715775779,0.5468528345133613,3016.2036668217247,1695.1755849311016,1.4760680966662008,1.4259489199681132,1.3922444313975113,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24486912495922297
Banking_crypto,shock,0.95,S3,5,False,,18,5700,0.6095532876094355,0.5457482866078783,3011.95957235368,1681.4834206440887,1.4760680966662008,1.4774609336063413,1.4600720756778838,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24278658302500844
Banking_crypto,shock,0.95,S3,10,False,,18,5700,0.6301908174765283,0.5671355285990795,3261.618807019961,1645.2615253024005,1.4760680966662008,1.5031180811050637,1.511621858717817,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24232395796570927
Banking_crypto,shock,0.97,S1,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,5700,0.6235638583797304,0.5543932801578819,1.1836319249377474,1.0965990032477246,,,,,,False,,,not_applicable_placebo,,,False,0.0059201669646427035
Banking_crypto,shock,0.97,S1,1,False,,18,5700,0.6235638583797304,0.5863597014177605,3182.116033336263,1822.8277206654573,1.6134881880838778,1.5054576618196769,1.4388347124069598,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24329333298373967
Banking_crypto,shock,0.97,S1,2,False,,18,5700,0.6093430071033886,0.5712320395349729,3025.9798432763805,1830.8137036500111,1.6134881880838778,1.5745921842511226,1.529923790555747,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2422985829762183
Banking_crypto,shock,0.97,S1,5,False,,18,5700,0.6131428219712056,0.5738699312751535,3086.333408929509,1825.8724382072521,1.6134881880838778,1.6144306548784348,1.6070470595703008,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.25312195799779147
Banking_crypto,shock,0.97,S1,10,False,,18,5700,0.6396916606706485,0.5964778602341145,3362.1859587172344,1756.7000236399897,1.6134881880838778,1.6411901583029955,1.647798297818654,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.25404170900583267
Banking_crypto,shock,0.97,S2,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,5700,0.6223532548560203,0.5379430021510715,4.73812006539589,3.842943602279582,,,,,,False,,,not_applicable_placebo,,,False,0.005667457997333258
Banking_crypto,shock,0.97,S2,1,False,,18,5700,0.6223532548560203,0.587293926279169,3148.549208425845,1643.8541177999978,1.6134881880838778,1.4966083467614262,1.4264992334035427,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24612074997276068
Banking_crypto,shock,0.97,S2,2,False,,18,5700,0.6085464187254719,0.571673879351632,2994.8279882351503,1650.2798255236671,1.6134881880838778,1.5653913669911665,1.5419181410878309,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24450629099737853
Banking_crypto,shock,0.97,S2,5,False,,18,5700,0.6122530201981352,0.5749111631025906,3043.736716625167,1656.6118830514326,1.6134881880838778,1.6147555164082013,1.6080401673026992,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2438244580407627
Banking_crypto,shock,0.97,S2,10,False,,18,5700,0.6340906204519342,0.6021120684526268,3311.363262492978,1677.3016793301051,1.6134881880838778,1.6364414962628988,1.6534160313070014,,,True,0.16666666666666666,1.0,fast_closed_form_outer,,,False,0.15065162495011464
Banking_crypto,shock,0.97,S3,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,5700,0.6353201047031487,0.5313574622529053,1.08898051006148,1.1268391007880525,,,,,,False,,,not_applicable_placebo,,,False,0.005740374966990203
Banking_crypto,shock,0.97,S3,1,False,,18,5700,0.6353201047031487,0.5723291576107876,3308.092257114556,1731.5032223304881,1.6134881880838778,1.5049371890794412,1.4371819413050428,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24330141703831032
Banking_crypto,shock,0.97,S3,2,False,,18,5700,0.6210646711688682,0.5572567405733188,3144.72843372615,1711.973466061095,1.6134881880838778,1.5728495099020987,1.5354356655828136,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2432405420113355
Banking_crypto,shock,0.97,S3,5,False,,18,5700,0.6258286549905766,0.5597176887585608,3191.836041152313,1725.2011399135702,1.6134881880838778,1.6166564154541316,1.604175165655186,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.25690199999371544
Banking_crypto,shock,0.97,S3,10,False,,18,5700,0.6491775086975522,0.5853914081486226,3473.4060443036574,1718.2024248929367,1.6134881880838778,1.637023879969621,1.649033208919384,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24393250001594424
Control_2022_Aug_A,control,0.95,S1,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.6628742632988346,0.5978695763762126,18.637294290721705,18.472697757329055,,,,,,False,,,not_applicable_placebo,,,False,0.004857791995164007
Control_2022_Aug_A,control,0.95,S1,1,False,,18,4260,0.6628742632988346,0.6614890611284375,2269.1697258027125,666.9716509365858,1.6020433783659296,1.4945785745184674,1.390698020873478,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20385512500070035
Control_2022_Aug_A,control,0.95,S1,2,False,,18,4260,0.6527913196172411,0.6475589530205192,2174.889446541189,695.518374451303,1.6020433783659296,1.5406632541253344,1.4762237450835765,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20347791601670906
Control_2022_Aug_A,control,0.95,S1,5,False,,18,4260,0.6446882753100406,0.6368369854290475,2108.0795193688286,826.303142159672,1.6020433783659296,1.5866791025342635,1.5612079597994288,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20296208397485316
Control_2022_Aug_A,control,0.95,S1,10,False,,18,4260,0.6534963981867503,0.6436662384658578,2168.899763621212,953.0063787259749,1.6020433783659296,1.6110904568336106,1.6073980047826413,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20392445800825953
Control_2022_Aug_A,control,0.95,S2,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.660937684649822,0.5839040373629529,13.67909767384335,12.665102140608738,,,,,,False,,,not_applicable_placebo,,,False,0.004662583000026643
Control_2022_Aug_A,control,0.95,S2,1,False,,18,4260,0.660937684649822,0.6449220247521487,2309.817490758686,526.4211489318866,1.6020433783659296,1.4800988909107093,1.4020389340516488,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20447175001027063
Control_2022_Aug_A,control,0.95,S2,2,False,,18,4260,0.6489633641063298,0.6328857512436903,2216.639911668285,550.5547878732295,1.6020433783659296,1.5348890498143188,1.4847374988310678,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20342779095517471
Control_2022_Aug_A,control,0.95,S2,5,False,,18,4260,0.6415690575651436,0.6223754256933774,2137.9119238166218,665.6247724480147,1.6020433783659296,1.5789050918812118,1.5727317316645746,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2032075420138426
Control_2022_Aug_A,control,0.95,S2,10,False,,18,4260,0.6451579543034894,0.6342170009132765,2192.1791519140424,779.2362372413437,1.6020433783659296,1.6075507080404468,1.6146489162432325,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20268170797498897
Control_2022_Aug_A,control,0.95,S3,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.6208773951349622,0.6184907568962692,4.555104457570737,4.713091046827798,,,,,,False,,,not_applicable_placebo,,,False,0.004705583967734128
Control_2022_Aug_A,control,0.95,S3,1,False,,18,4260,0.6208773951349622,0.7039933265186193,2163.4809859927714,648.8479844445654,1.6020433783659296,1.4761509732897669,1.387942907779791,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.21355554199544713
Control_2022_Aug_A,control,0.95,S3,2,False,,18,4260,0.6095057342581076,0.6908551227560163,2078.6099127240636,688.5148979838633,1.6020433783659296,1.5359728716243024,1.468103600261825,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.22962487500626594
Control_2022_Aug_A,control,0.95,S3,5,False,,18,4260,0.6014148375012432,0.6794356809380896,2021.3750628967891,838.5129528263814,1.6020433783659296,1.5883479629136126,1.5576141244200203,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20310733298538253
Control_2022_Aug_A,control,0.95,S3,10,False,,18,4260,0.6114156663719806,0.6849541507778956,2067.5392256272025,956.6084131151554,1.6020433783659296,1.6060457351694772,1.6187747650291133,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20324975001858547
Control_2022_Aug_A,control,0.97,S1,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.6661938832982547,0.5994872713093478,18.323560743239007,17.688347095373544,,,,,,False,,,not_applicable_placebo,,,False,0.004700999998021871
Control_2022_Aug_A,control,0.97,S1,1,False,,18,4260,0.6661938832982547,0.6712342219077635,2296.496374017375,685.6807820692894,1.6661723652857376,1.5907683567201756,1.552927989380619,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20353591605089605
Control_2022_Aug_A,control,0.97,S1,2,False,,18,4260,0.6555153754318187,0.6561172417074992,2197.462927582263,743.0642678743955,1.6661723652857376,1.616109497783166,1.5810774317235892,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20359091699356213
Control_2022_Aug_A,control,0.97,S1,5,False,,18,4260,0.6504345924783668,0.6450777586939145,2133.141533225857,921.754763455072,1.6661723652857376,1.6468845604541342,1.619772281063662,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20191595802316442
Control_2022_Aug_A,control,0.97,S1,10,False,,18,4260,0.6551744240391948,0.6475928059822612,2176.2546272201134,1043.749694583182,1.6661723652857376,1.6608724450470036,1.6595108426801028,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20222141698468477
Control_2022_Aug_A,control,0.97,S2,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.6633150190991586,0.5867115311182829,12.621238127332044,12.238441706924261,,,,,,False,,,not_applicable_placebo,,,False,0.004653499985579401
Control_2022_Aug_A,control,0.97,S2,1,False,,18,4260,0.6633150190991586,0.6542243487031896,2352.5208971196994,616.340397802069,1.6661723652857376,1.5639032300534506,1.5207188834826468,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20914574997732416
Control_2022_Aug_A,control,0.97,S2,2,False,,18,4260,0.6517977872146049,0.6403311867103931,2250.5937245385203,656.4102191280148,1.6661723652857376,1.6015011151343514,1.5645850998789959,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20563350000884384
Control_2022_Aug_A,control,0.97,S2,5,False,,18,4260,0.6464243519326115,0.6294971606536476,2188.107966216816,790.0975852246451,1.6661723652857376,1.6385363289987789,1.6229791485732463,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20194120798259974
Control_2022_Aug_A,control,0.97,S2,10,False,,18,4260,0.6478384596343427,0.6362483131510692,2212.7812583163914,844.7769018824937,1.6661723652857376,1.6615287454907082,1.6600462720784983,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20202508399961516
Control_2022_Aug_A,control,0.97,S3,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.6258564880697252,0.6203466093961757,5.113793591966798,5.1790476662082545,,,,,,False,,,not_applicable_placebo,,,False,0.004757750022690743
Control_2022_Aug_A,control,0.97,S3,1,False,,18,4260,0.6258564880697252,0.7101226144083289,2218.6968999450182,704.7880577756096,1.6661723652857376,1.5829098000406676,1.5381417852974628,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2026712080114521
Control_2022_Aug_A,control,0.97,S3,2,False,,18,4260,0.6138354996037602,0.6959231116095713,2127.477825036464,776.8212361913405,1.6661723652857376,1.6149846323785764,1.5751922772765374,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20222266600467265
Control_2022_Aug_A,control,0.97,S3,5,False,,18,4260,0.605621909333855,0.6869280522328302,2076.381361954811,992.0729665768696,1.6661723652857376,1.6436538584391769,1.6203361293062262,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20205862500006333
Control_2022_Aug_A,control,0.97,S3,10,False,,18,4260,0.612521260208165,0.688330146628364,2090.359583796897,1045.619086146431,1.6661723652857376,1.6626141315498157,1.6583241402769577,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20198391698068008
Control_2022_Aug_B,control,0.95,S1,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.7325516838678421,0.6887717619607666,1.0115657650406347,1.0634199432302487,,,,,,False,,,not_applicable_placebo,,,False,0.004648042027838528
Control_2022_Aug_B,control,0.95,S1,1,False,,18,4260,0.7325516838678421,0.6995121153886088,2118.7993711205336,1181.149100440395,1.4176992456116335,1.3369182766526697,1.2838213531486398,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2073973340447992
Control_2022_Aug_B,control,0.95,S1,2,False,,18,4260,0.7164525085754603,0.6849667002529107,2021.12740394221,1169.4374967356034,1.4176992456116335,1.3848220758414966,1.3531440213847703,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20644862501649186
Control_2022_Aug_B,control,0.95,S1,5,False,,18,4260,0.715515768666867,0.6874355335406359,2040.9682710514153,1232.9885704083342,1.4176992456116335,1.4176654990507296,1.4104743938349515,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2058213750133291
Control_2022_Aug_B,control,0.95,S1,10,False,,18,4260,0.7368557355522475,0.7119302537761817,2166.1508245494533,1288.9832785108842,1.4176992456116335,1.4292466436349496,1.4290154652813283,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20200424996437505
Control_2022_Aug_B,control,0.95,S2,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.7617517476082918,0.641058921042659,6.308825608380017,6.469900697132154,,,,,,False,,,not_applicable_placebo,,,False,0.004742207995150238
Control_2022_Aug_B,control,0.95,S2,1,False,,18,4260,0.7617517476082918,0.6598094183126235,2190.2973905274034,1426.7063997623238,1.4176992456116335,1.3658993805609472,1.3286949481452843,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20216737495502457
Control_2022_Aug_B,control,0.95,S2,2,False,,18,4260,0.7467383194490194,0.6442232597235807,2096.325292682544,1415.6614483009273,1.4176992456116335,1.3947840364240245,1.380167971705531,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20475291705224663
Control_2022_Aug_B,control,0.95,S2,5,False,,18,4260,0.746361043064874,0.6470761074872854,2105.6773960521214,1467.2489807824363,1.4176992456116335,1.4145367819515635,1.4171109372100916,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20398058299906552
Control_2022_Aug_B,control,0.95,S2,10,False,,18,4260,0.7681321043994174,0.6696598560275125,2251.5341734585973,1498.09834897391,1.4176992456116335,1.4235898192536784,1.4282118203116414,,,True,0.16666666666666666,1.0,fast_closed_form_outer,,,False,0.12585516698891297
Control_2022_Aug_B,control,0.95,S3,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,4260,0.7331488250890669,0.6798955333588673,2.1887635194741306,1.9398633430826324,,,,,,False,,,not_applicable_placebo,,,False,0.004795791988726705
Control_2022_Aug_B,control,0.95,S3,1,False,,18,4260,0.7331488250890669,0.6995424766412572,2320.5103386823876,1507.5835914216852,1.4176992456116335,1.3669721295306592,1.3308104209117237,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.20567295799264684
