window,q,asset,hansen_J,p,df
Banking_crypto,0.95,ADAUSDT,0.7107458034574119,0.399196334364588,1
Banking_crypto,0.95,ATOMUSDT,6.980242036441123,0.00824144621716949,1
Banking_crypto,0.95,AVAXUSDT,1.5894719853474608,0.20740158859912172,1
Banking_crypto,0.95,BCHUSDT,3.9665419580419057,0.04641299515171993,1
Banking_crypto,0.95,BNBUSDT,0.5990232277526717,0.43895095180278976,1
Banking_crypto,0.95,BTCUSDT,4.126234815340194,0.04222319578960565,1
Banking_crypto,0.95,DOGEUSDT,0.20507092959135617,0.6506585004758714,1
Banking_crypto,0.95,DOTUSDT,1.5095583747155354,0.2192064868382103,1
Banking_crypto,0.95,ETCUSDT,3.942706359610112,0.04707498626025641,1
Banking_crypto,0.95,ETHUSDT,3.0620917281595155,0.08013844479592658,1
Banking_crypto,0.95,FILUSDT,0.11530588444934006,0.7341824812098007,1
Banking_crypto,0.95,LINKUSDT,5.485389656693414,0.019176045286177223,1
Banking_crypto,0.95,LTCUSDT,1.3760887205002554,0.24076850563460983,1
Banking_crypto,0.95,NEARUSDT,0.01993969844065252,0.8877056286208063,1
Banking_crypto,0.95,SOLUSDT,6.960129911020354,0.008334598106204738,1
Banking_crypto,0.95,TRXUSDT,0.2805729283768066,0.5963259448926075,1
Banking_crypto,0.95,UNIUSDT,0.02508879584287276,0.8741460016271163,1
Banking_crypto,0.95,XRPUSDT,1.6037687632453064,0.20536993872871656,1
Banking_crypto,0.97,ADAUSDT,1.4612917319388827,0.2267247044959233,1
Banking_crypto,0.97,ATOMUSDT,2.3828008422283697,0.12267742259657943,1
Banking_crypto,0.97,AVAXUSDT,0.27959210801565226,0.5969686882445235,1
Banking_crypto,0.97,BCHUSDT,2.777371389024634,0.09560496373170302,1
Banking_crypto,0.97,BNBUSDT,0.265463797530666,0.6063910568805437,1
Banking_crypto,0.97,BTCUSDT,0.3820327123161814,0.5365173658674975,1
Banking_crypto,0.97,DOGEUSDT,1.9666405531435056,0.1608049002459988,1
Banking_crypto,0.97,DOTUSDT,1.6626003501063893,0.19725259525521344,1
Banking_crypto,0.97,ETCUSDT,3.3678606730734533,0.06648003075475195,1
Banking_crypto,0.97,ETHUSDT,1.8424205511797296,0.1746675086521946,1
Banking_crypto,0.97,FILUSDT,0.041621478609652485,0.8383430059368628,1
Banking_crypto,0.97,LINKUSDT,4.97037440012246,0.025785065376447647,1
Banking_crypto,0.97,LTCUSDT,1.103924889258632,0.2934063658742563,1
Banking_crypto,0.97,NEARUSDT,0.0005777903419277321,0.9808228802449497,1
Banking_crypto,0.97,SOLUSDT,8.911552460657866,0.002833722625698698,1
Banking_crypto,0.97,TRXUSDT,0.008852928238956146,0.9250376633979326,1
Banking_crypto,0.97,UNIUSDT,0.018953377206369852,0.8905002303212632,1
Banking_crypto,0.97,XRPUSDT,0.8224363243573815,0.36446880351818145,1
Control_2022_Aug_A,0.95,ADAUSDT,1.760938412750507,0.18450750946225125,1
Control_2022_Aug_A,0.95,ATOMUSDT,0.482631787516573,0.48723263723821997,1
Control_2022_Aug_A,0.95,AVAXUSDT,0.5477915376788168,0.4592214772802813,1
Control_2022_Aug_A,0.95,BCHUSDT,0.17743189205090573,0.6735895846020699,1
Control_2022_Aug_A,0.95,BNBUSDT,3.6606831901989705,0.05571078453629286,1
Control_2022_Aug_A,0.95,BTCUSDT,0.865735768431678,0.3521385395895712,1
Control_2022_Aug_A,0.95,DOGEUSDT,4.082149785072488,0.043338486196532244,1
Control_2022_Aug_A,0.95,DOTUSDT,0.23088669104577014,0.6308671384928427,1
Control_2022_Aug_A,0.95,ETCUSDT,0.5246332862673057,0.4688719180334162,1
Control_2022_Aug_A,0.95,ETHUSDT,1.3894506346011,0.23849789618732098,1
Control_2022_Aug_A,0.95,FILUSDT,0.3692728684880209,0.5434008840944704,1
Control_2022_Aug_A,0.95,LINKUSDT,0.10723016759568886,0.7433198581239492,1
Control_2022_Aug_A,0.95,LTCUSDT,0.2757215791328401,0.5995192565760951,1
Control_2022_Aug_A,0.95,NEARUSDT,3.153667913963048,0.07575649783022154,1
Control_2022_Aug_A,0.95,SOLUSDT,1.9182140338109865,0.1660536779088848,1
Control_2022_Aug_A,0.95,TRXUSDT,0.009024654068506041,0.9243162730971961,1
Control_2022_Aug_A,0.95,UNIUSDT,0.6249363958834934,0.4292187835827346,1
Control_2022_Aug_A,0.95,XRPUSDT,0.03228251147083715,0.8574090192366737,1
Control_2022_Aug_A,0.97,ADAUSDT,0.01347941021239438,0.9075726054695111,1
Control_2022_Aug_A,0.97,ATOMUSDT,1.9596853009079611,0.16154697896503312,1
Control_2022_Aug_A,0.97,AVAXUSDT,0.4446895334145664,0.50486765870009,1
Control_2022_Aug_A,0.97,BCHUSDT,0.04738663989923488,0.8276747652555144,1
Control_2022_Aug_A,0.97,BNBUSDT,0.09808917004431936,0.7541348673315147,1
Control_2022_Aug_A,0.97,BTCUSDT,4.287834586098153,0.03838602522696133,1
Control_2022_Aug_A,0.97,DOGEUSDT,4.82044518515351,0.02812408055293525,1
Control_2022_Aug_A,0.97,DOTUSDT,0.00037238916193637467,0.9846038680640122,1
Control_2022_Aug_A,0.97,ETCUSDT,0.6379864260350836,0.4244408833468847,1
Control_2022_Aug_A,0.97,ETHUSDT,0.9683342395286462,0.32509596636553684,1
Control_2022_Aug_A,0.97,FILUSDT,0.06982880933081967,0.7915861966053035,1
Control_2022_Aug_A,0.97,LINKUSDT,1.7135458097927105,0.1905259653647633,1
Control_2022_Aug_A,0.97,LTCUSDT,0.09281912814200892,0.7606233517053065,1
Control_2022_Aug_A,0.97,NEARUSDT,0.2999847345827116,0.583891990972901,1
Control_2022_Aug_A,0.97,SOLUSDT,0.7579734369182674,0.38396347538130937,1
