window,kind,q,asset,row,ar_kind,n_positive_boxes,qA,target_norm,status,d_lo,d_hi,d_star,min_norm,required_radius_ratio
Terra_Luna,shock,0.95,BTCUSDT,0,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.022632949490678442,0.08230473682926247,0.022632930778692415,11.052678316480042,2.9521533618795606
Terra_Luna,shock,0.95,ETHUSDT,1,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.02236777126372578,0.09041364531991705,0.022367770080387674,9.121773493536127,2.010770116596623
Terra_Luna,shock,0.95,BNBUSDT,2,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.018506934148097502,0.07774570673208622,0.04121246190619182,9.355737432934411,2.115241235832173
Terra_Luna,shock,0.95,SOLUSDT,3,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.023019583865266365,0.08004116795962869,0.023019544572504467,10.70737123225747,2.770572855576738
Terra_Luna,shock,0.95,XRPUSDT,4,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.01763128805505297,0.07699329772690264,0.01763127710999223,8.59670893114441,1.785945902208274
Terra_Luna,shock,0.95,ADAUSDT,5,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.01905867303743794,0.07752895353477697,0.056789535392266985,10.275477446518364,2.551572278909149
Terra_Luna,shock,0.95,DOGEUSDT,6,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.01369088851646058,0.07341596649277557,0.013690986151043237,7.180400719526619,1.245951731606871
Terra_Luna,shock,0.95,LTCUSDT,7,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.011587862379343455,0.06890147566921227,0.011587863548684268,7.016694227985264,1.1897862816663611
Terra_Luna,shock,0.95,LINKUSDT,8,interval,1,41.38053921758687,6.432770726334561,FEASIBLE_AT_STATED_RADIUS,0.025254579690161656,0.08384928962009612,0.025254576101504996,5.184139991321467,0.6494673089759168
Terra_Luna,shock,0.95,AVAXUSDT,9,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.020973023971753383,0.0745567225597316,0.026624158125230068,10.090201269569725,2.460387505466724
Terra_Luna,shock,0.95,TRXUSDT,10,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.004395071463918545,0.057693035608548444,0.004395070898452907,8.409632597067832,1.7090623214404317
Terra_Luna,shock,0.95,DOTUSDT,11,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.0237210690544034,0.08346227211042245,0.06286659644181544,6.782685978178139,1.1117503529055546
Terra_Luna,shock,0.95,ATOMUSDT,12,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.009066403261381355,0.06018718679492852,0.009066398993501593,7.006453226078424,1.1863157836367961
Terra_Luna,shock,0.95,BCHUSDT,13,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.009126589186639885,0.06941211104092554,0.015567272104738298,11.360777320409134,3.1190328537108214
Terra_Luna,shock,0.95,ETCUSDT,14,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.027261901027184537,0.08555159445455994,0.027261899067288913,7.902134002630816,1.5090117957910831
Terra_Luna,shock,0.95,FILUSDT,15,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.030968008333385914,0.09050890173417815,0.07883956801833196,9.932103439706331,2.383890606604303
Terra_Luna,shock,0.95,NEARUSDT,16,interval,1,41.38053921758687,6.432770726334561,ELLIPSOID_CONE_CONFLICT,0.009949822009142772,0.0599873131685231,0.019943873892285156,8.160573723534338,1.6093304910085846
