window,q,asset,hansen_J,p,df
Banking_crypto,0.95,ADAUSDT,0.2729158155012042,0.6013824914719725,1
Banking_crypto,0.95,ATOMUSDT,5.841771652000596,0.015650060820856515,1
Banking_crypto,0.95,AVAXUSDT,1.302806186733647,0.2537012768684559,1
Banking_crypto,0.95,BCHUSDT,3.113666176019847,0.07763802034081924,1
Banking_crypto,0.95,BNBUSDT,0.22462682668314637,0.6355368987775905,1
Banking_crypto,0.95,BTCUSDT,3.233621640556235,0.0721409854163978,1
Banking_crypto,0.95,DOGEUSDT,0.052807258295086014,0.8182485064374903,1
Banking_crypto,0.95,DOTUSDT,0.9757275685986696,0.3232558818175375,1
Banking_crypto,0.95,ETCUSDT,3.7103447634581976,0.054076220299133615,1
Banking_crypto,0.95,ETHUSDT,2.489043817053345,0.1146413551983605,1
Banking_crypto,0.95,FILUSDT,0.3085928050656556,0.5785449827541332,1
Banking_crypto,0.95,LINKUSDT,5.1660925150692085,0.023031966745744037,1
Banking_crypto,0.95,LTCUSDT,0.981722837173355,0.32177383525002545,1
Banking_crypto,0.95,NEARUSDT,0.14322159330699735,0.7050990872982773,1
Banking_crypto,0.95,SOLUSDT,5.675374339266014,0.01720466840636825,1
Banking_crypto,0.95,TRXUSDT,0.555261448749226,0.45617580262727087,1
Banking_crypto,0.95,UNIUSDT,0.16577028558535656,0.6838985769444896,1
Banking_crypto,0.95,XRPUSDT,1.0115602405798965,0.3145293436268062,1
Banking_crypto,0.97,ADAUSDT,0.7998051366824475,0.37115163683395025,1
Banking_crypto,0.97,ATOMUSDT,1.850636571966299,0.17370937542200293,1
Banking_crypto,0.97,AVAXUSDT,0.14117063288306927,0.7071200071958077,1
Banking_crypto,0.97,BCHUSDT,2.233558404052765,0.13504252185825272,1
Banking_crypto,0.97,BNBUSDT,0.1084393312720587,0.7419279787189232,1
Banking_crypto,0.97,BTCUSDT,0.20560019920609526,0.6502379995153813,1
Banking_crypto,0.97,DOGEUSDT,1.503183978657331,0.22018210401316285,1
Banking_crypto,0.97,DOTUSDT,1.0440615938724638,0.30687873047430336,1
Banking_crypto,0.97,ETCUSDT,3.2264170824247773,0.07245905746649872,1
Banking_crypto,0.97,ETHUSDT,1.4553482240877336,0.2276717196718172,1
Banking_crypto,0.97,FILUSDT,0.1442141332601272,0.7041270219455388,1
Banking_crypto,0.97,LINKUSDT,4.5893318108470105,0.032171553904981165,1
Banking_crypto,0.97,LTCUSDT,0.911397603564748,0.33974386514009847,1
Banking_crypto,0.97,NEARUSDT,0.04707473524900053,0.8282339616712393,1
Banking_crypto,0.97,SOLUSDT,7.82644876715354,0.005148715996896036,1
Banking_crypto,0.97,TRXUSDT,0.09555838144478104,0.7572263001465086,1
Banking_crypto,0.97,UNIUSDT,0.004987837683501305,0.9436965112765441,1
Banking_crypto,0.97,XRPUSDT,0.5176262193634769,0.47185602946095573,1
Control_2022_Aug_A,0.95,ADAUSDT,1.0708508458267743,0.3007533389652971,1
Control_2022_Aug_A,0.95,ATOMUSDT,0.21355052372579914,0.6439986595881784,1
