window,kind,q,split,lag,placebo,placebo_definition,K,T,kappa_A,kappa_B,F_conv,F_eff_MOP,rho_naive,rho_ols_proxy,rho_2sls,ar_lo,ar_hi,ar_empty,ar_frac_bounded,hac_ar_frac_bounded,ar_projection,conn_naive,conn_2sls,systemic_rank_preserved,seconds
Banking_crypto,shock,0.95,S1,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,5700,0.61734617834758,0.549150800425957,0.29369311945967574,0.2702254368130604,,,,,,False,,,not_applicable_placebo,,,False,0.005609874962829053
Banking_crypto,shock,0.95,S1,1,False,,18,5700,0.61734617834758,0.5757852763081551,3000.6780202522236,1728.4661423877521,1.4760680966662008,1.3757520876809086,1.3114133663484604,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2467964999959804
Banking_crypto,shock,0.95,S1,2,False,,18,5700,0.6037608487078864,0.5611113049037096,2852.5438553439462,1726.6121958483095,1.4760680966662008,1.4295818347367852,1.3860455594546643,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24331687501398847
Banking_crypto,shock,0.95,S1,5,False,,18,5700,0.6042057019059457,0.5592863314298853,2862.5669497513923,1701.6623250551647,1.4760680966662008,1.4766967693908462,1.462547422411819,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24322212499100715
Banking_crypto,shock,0.95,S1,10,False,,18,5700,0.6282418682854445,0.5779494274742525,3099.639026027054,1657.4514295079484,1.4760680966662008,1.5058006319570012,1.5136766352520807,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.24374637502478436
Banking_crypto,shock,0.95,S2,-1,True,"lead_innovation_F:mA_t-1~mB_t+1|H,mB_t,mB_t-1",18,5700,0.6145518577286525,0.5356343889648616,2.9271564802532324,2.345174629423253,,,,,,False,,,not_applicable_placebo,,,False,0.005774833960458636
Banking_crypto,shock,0.95,S2,1,False,,18,5700,0.6145518577286525,0.5765380681430554,3028.700871132887,1597.691233262037,1.4760680966662008,1.3631617608451672,1.295663059516417,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.244407125050202
Banking_crypto,shock,0.95,S2,2,False,,18,5700,0.601527924085445,0.5613104850698677,2878.8608658311127,1601.0448545912059,1.4760680966662008,1.418100502359473,1.3902285832804857,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.2439217499922961
Banking_crypto,shock,0.95,S2,5,False,,18,5700,0.6019369475052779,0.5599025105200442,2880.9932477640327,1608.561110733365,1.4760680966662008,1.4726469346999922,1.4688430492180475,,,True,1.0,1.0,fast_closed_form_outer,,,False,0.247687291004695
Banking_crypto,shock,0.95,S2,10,False,,18,5700,0.6203710866906867,0.5840347443707294,3110.7479768467806,1617.9171517287932,1.4760680966662008,1.5001485401887267,1.5190721302731371,,,True,0.16666666666666666,1.0,fast_closed_form_outer,,,False,0.15149479103274643
